Name,Status,Telephone,Email,Website,Emailed,Phoned,Received Date
HAMILTON COUNTY,NO DATA,(513) 632-7000,hamilton@OhioSecretaryofState.gov ,boe.hamilton-co.org/,,,
HANCOCK COUNTY,NO DATA,(419) 422-3245,bdelections@co.hancock.oh.us ,www.hancockboardofelections.com,,,
HARDIN COUNTY,NO DATA,(419) 674-2211,hardin@OhioSecretaryofState.gov ,co.hardin.oh.us/boe/,,,
HARRISON COUNTY,NO DATA,(740) 942-8866,harrison@OhioSecretaryofState.gov,www.electionsonthe.net/oh/harrison,,,
HENRY COUNTY,NO DATA,(419) 592-7956,boardofelections@henrycountyohio.com ,www.henrycoelections.com,,,
HIGHLAND COUNTY,NO DATA,(937) 393-9961,highland@OhioSecretaryofState.gov,www.highlandcountyelections.com,,,
HOCKING COUNTY,NO DATA,(740) 380-8683,hocking@OhioSecretaryofState.gov,www.electionsonthe.net/oh/hocking,,,
HOLMES COUNTY,NO DATA,(330) 674-5921,holmes@OhioSecretaryofState.gov ,www.holmescountyboardofelections.com,,,
HURON COUNTY,NO DATA,(419) 668-8238,huron@OhioSecretaryofState.gov,huroncountyboe.wordpress.com,,,
JACKSON COUNTY,NO DATA,(740) 286-2905,jackson@OhioSecretaryofState.gov,www.electionsonthe.net/oh/jackson,,,
JEFFERSON COUNTY,NO DATA,(740) 283-8522,jefferso@OhioSecretaryofState.gov ,www.electionsonthe.net/oh/jefferson,,,
KNOX COUNTY,NO DATA,(740) 393-6716,knox@OhioSecretaryofState.gov,www.co.knox.oh.us/offices/boe,,,
LAKE COUNTY,NO DATA,(440) 350-2700,lake@OhioSecretaryofState.gov ,www.lakeelections.com,,,
LAWRENCE COUNTY,NO DATA,(740) 532-0444,lawrence@OhioSecretaryofState.gov ,electionsonthe.net/oh/lawrence/,,,
LICKING COUNTY,NO DATA,(740) 670-5080,licking@OhioSecretaryofState.gov ,www.electionsonthe.net/oh/licking,,,
LOGAN COUNTY,NO DATA,(937) 599-7255,elections@co.logan.oh.us ,www.electionsonthe.net/oh/logan,,,
LORAIN COUNTY,NO DATA,(440) 326-5900,lorain@OhioSecretaryofState.gov ,www.loraincountyelections.com,,,
LUCAS COUNTY,NO DATA,(419) 213-4001,lucas@OhioSecretaryofState.gov ,www.lucascountyvotes.org,,,
MADISON COUNTY,NO DATA,(740) 852-9424,electionboard@co.madison.oh.us ,www.electionsonthe.net/oh/madison,,,
MAHONING COUNTY,NO DATA,(330) 783-2474,mahoning@OhioSecretaryofState.gov ,vote.mahoningcountyoh.gov,,,
MARION COUNTY,NO DATA,(740) 223-4090,marion@OhioSecretaryofState.gov ,www.marionelections.com,,,
MEDINA COUNTY,NO DATA,(330) 722-9278,medina@OhioSecretaryofState.gov ,www.MedinaCountyElections.org,,,
MEIGS COUNTY,NO DATA,(740) 992-2697,meigs@OhioSecretaryofState.gov,www.electionsonthe.net/oh/meigs,,,
MERCER COUNTY,NO DATA,(419) 586-2215,mercer@OhioSecretaryofState.gov ,www.mercercountyohio.org/elections/,,,
MIAMI COUNTY,NO DATA,(937) 440-3900,miami@OhioSecretaryofState.gov,www.electionsonthe.net/oh/miami,,,
MONROE COUNTY,NO DATA,(740) 472-0929,monroe@OhioSecretaryofState.gov,www.monroecountyohio.net/government/board_of_elections/index.php,,,
MONTGOMERY COUNTY,NO DATA,(937) 225-5656,mcboe@mcohio.org ,www.mcboe.org,03/09/2017 - Michael,,
MORGAN COUNTY,NO DATA,(740) 962-3116,morgan@OhioSecretaryofState.gov,sites.google.com/site/morgancountyboardofelections,,,
MORROW COUNTY,NO DATA,(419) 946-4026,morrow@OhioSecretaryofState.gov,www.morrowcounty.gov/www/index.php/,,,
MUSKINGUM COUNTY,NO DATA,(740) 455-7120,muskingu@OhioSecretaryofState.gov ,boe.muskingumcounty.org,,,
NOBLE COUNTY,NO DATA,(740) 732-2057,noble@OhioSecretaryofState.gov,www.electionsonthe.net/oh/noble/,,,
OTTAWA COUNTY,NO DATA,(419) 898-3071,election@co.ottawa.oh.us ,www.co.ottawa.oh.us/OCBoardofElections,,,
PAULDING COUNTY,NO DATA,(419) 399-8230,paulding@OhioSecretaryofState.gov,www.electionsonthe.net/OH/Paulding,,,
PERRY COUNTY,NO DATA,(740) 342-2134,perry@OhioSecretaryofState.gov,sites.google.com/site/perrycountyelections,,,
PICKAWAY COUNTY,NO DATA,(740) 474-1100,pickaway@OhioSecretaryofState.gov ,www.electionsonthe.net/oh/pickaway,,,
PIKE COUNTY,NO DATA,(740) 947-4512,pike@OhioSecretaryofState.gov,www.electionsonthe.net/oh/pike,,,
PORTAGE COUNTY,NO DATA,(330) 297-3511,portage@OhioSecretaryofState.gov ,www.co.portage.oh.us/election/index.html,,,
PREBLE COUNTY,COMPLETE,(937) 456-8117,preble@electionsonthe.net ,www.electionsonthe.net/Oh/Preble,03/09/2017 - Michael,,03/13/2017 - Michael
PUTNAM COUNTY,NO DATA,(419) 538-6850,putnam@OhioSecretaryofState.gov ,www.putnamcountyohio.gov/CountyAgencies/,,,
RICHLAND COUNTY,NO DATA,(419) 774-5530,boardofelections@richlandcountyoh.us,www.richlandcountyoh.us/boe.htm,,,
ROSS COUNTY,NO DATA,(740) 775-2350,rossboe@horizonview.net ,www.electionsonthe.net/Oh/Ross,,,
SANDUSKY COUNTY,NO DATA,(419) 334-6180,tuckerman@co.sandusky.oh.us,http://www.sandusky-county.com/index.php?page=board-of-elections,,,
SCIOTO COUNTY,NO DATA,(740) 353-4178,scioto@OhioSecretaryofState.gov,electionsonthe.net/oh/scioto/index.htm,,,
SENECA COUNTY,NO DATA,(419) 447-4424,seneca@OhioSecretaryofState.gov ,www.electionsonthe.net/oh/seneca,,,
SHELBY COUNTY,NO DATA,(937) 498-7207,shelby@OhioSecretaryofState.gov ,co.shelby.oh.us/board-of-elections,,,
STARK COUNTY,NO DATA,(330) 451-8683,boe@starkcountyohio.gov,www.starkcountyohio.gov/board-of-elections,,,
SUMMIT COUNTY,NO DATA,(330) 643-5200,summit@SummitCountyBoe.com,www.summitcountyboe.com,,,
TRUMBULL COUNTY,NO DATA,(330) 369-4050,trumbull@OhioSecretaryofState.gov ,www.boe.co.trumbull.oh.us,,,
TUSCARAWAS COUNTY,NO DATA,(330) 343-8819,tuscaraw@OhioSecretaryofState.gov ,boe.co.tuscarawas.oh.us,,,
UNION COUNTY,NO DATA,(937) 642-2836,boardofelections@co.union.oh.us ,www.co.union.oh.us/board-of-elections/,,,
VAN WERT COUNTY,NO DATA,(419) 238-4192,vanwert@OhioSecretaryofState.gov ,www.electionsonthe.net/oh/vanwert,,,
VINTON COUNTY,NO DATA,(740) 596-5855,vinton@OhioSecretaryofState.gov,sites.google.com/site/vintoncountyboardofelections,,,
WARREN COUNTY,COMPLETE,(513) 695-1358,wcboe@co.warren.oh.us ,www.warrencountyboe.us,03/09/2017 - Michael,,03/21/2017 - Michael
WASHINGTON COUNTY,NO DATA,(740) 374-6828,washingt@OhioSecretaryofState.gov ,www.washingtongov.org/index.aspx?nid=588,,,
WAYNE COUNTY,NO DATA,(330) 287-5480,contact@votewayne.org ,www.votewayne.org,,,
WILLIAMS COUNTY,NO DATA,(419) 636-1854,williams@OhioSecretaryofState.gov ,www.co.williams.oh.us/BOE/index1.htm,,,
WOOD COUNTY,NO DATA,(419) 354-9120,boe@co.wood.oh.us ,www.co.wood.oh.us/BOE,,,
WYANDOT COUNTY,NO DATA,(419) 294-1226,wyandot@OhioSecretaryofState.gov,www.co.wyandot.oh.us/boardofelections/default.html,,,
